,archivo,zero_cr,spectral_centroid,spectral_bw,spectral_rf,croma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,BPM,auto_c,genero
235,LOSCOCACOLOS-ROBERTODELABARRERA_01m_00s__02m_00s.mp3,4,2969.9057471795695,3075.27510983589,5792.260311044537,0.40731269121170044,-260.7943115234375,134.48617553710938,-39.19153594970703,49.86299133300781,-13.62386703491211,14.275070190429688,-12.412920951843262,13.66530704498291,-9.367814064025879,2.5327656269073486,-3.6561965942382812,3.792034864425659,-3.0884387493133545,6.438747882843018,-0.05551387369632721,-7.273711681365967,4.817798614501953,-9.711366653442383,-4.0568766593933105,-7.557374000549316,105.46875,0.38247370795255536,salsa
236,LUZANGELA-JOEARROYO_01m_00s__02m_00s.mp3,8,3236.873774775697,3191.926392906369,6653.070268532893,0.4833034873008728,-219.13232421875,123.61663055419922,-42.12582778930664,73.05411529541016,-8.784799575805664,32.43584060668945,-7.017663955688477,20.604259490966797,-1.120619535446167,2.7809789180755615,-3.5374221801757812,-0.5526139736175537,4.036345481872559,-2.752570390701294,5.377740383148193,-2.5108208656311035,7.096730709075928,-3.913391351699829,1.115697979927063,-1.1015454530715942,101.33272058823529,0.476145247761466,salsa
237,MADRE-MELCOCHITA_01m_00s__02m_00s.mp3,5,2865.320357176389,3401.6338778882164,6278.639253455383,0.46776509284973145,-223.8283233642578,127.40617370605469,-26.118356704711914,52.793357849121094,-6.014158725738525,29.19576644897461,-8.364501953125,17.589557647705078,-0.8028922080993652,11.74813175201416,-3.889387845993042,7.2262163162231445,1.537092924118042,-1.0044597387313843,-0.9106593728065491,-5.206915378570557,2.8445801734924316,-5.933445930480957,4.135416507720947,-3.924445629119873,114.84375,0.4680622092140911,salsa
238,MARDEEMOCIONES-D.R.A_01m_00s__02m_00s.mp3,5,4202.209155709711,4021.6300127387913,8956.17860083022,0.48461252450942993,-165.36727905273438,112.23699951171875,-26.446455001831055,65.8915786743164,-26.1837215423584,41.1427001953125,-22.86760139465332,23.900243759155273,-9.350696563720703,7.711932182312012,-7.128887176513672,9.208063125610352,-5.311708450317383,-0.7776179909706116,-1.2747585773468018,-3.7432351112365723,5.139408111572266,-4.920960426330566,7.0351643562316895,-6.306525230407715,112.34714673913044,0.5511032487774683,salsa
239,MARGARITA-WEALATINA_01m_00s__02m_00s.mp3,19,3134.784058543463,3484.493265714324,6785.452919288039,0.4716734290122986,-223.88247680664062,127.54840087890625,-32.92347717285156,57.98162841796875,-8.592049598693848,29.353849411010742,-14.063338279724121,18.078397750854492,-6.8192877769470215,7.357790946960449,-4.000088691711426,7.79683780670166,2.7216124534606934,-2.5198287963867188,0.7119694948196411,-0.6804733872413635,1.4559581279754639,-7.861684322357178,3.0752460956573486,-6.988868713378906,109.95678191489361,0.48640955113469236,salsa
240,MASCARAS-TAMBAFUEGO_01m_00s__02m_00s.mp3,8,3114.7475619353418,3103.2097429177843,6035.041289017061,0.3768089711666107,-204.97666931152344,138.10340881347656,-53.27116775512695,45.30534362792969,-15.929675102233887,33.0372428894043,-22.330007553100586,9.160293579101562,-5.152703285217285,3.9868810176849365,0.4898124933242798,3.575632333755493,-0.5884220004081726,1.967951774597168,-0.2580167055130005,-3.2381086349487305,0.6810894012451172,-6.746679782867432,2.13815975189209,-10.993212699890137,105.46875,0.38651407724923614,salsa
241,MEGUSTAYTEDESEO-CAÑABRAVA_01m_00s__02m_00s.mp3,7,2902.300188420551,3320.7627677175687,6287.41544351661,0.41410452127456665,-194.69415283203125,137.8788299560547,-28.173011779785156,55.6856575012207,-10.108888626098633,31.761472702026367,-15.509649276733398,13.29369831085205,-7.771627902984619,8.732170104980469,-1.2559462785720825,2.5291764736175537,1.2751500606536865,-4.166825771331787,-1.0961068868637085,-10.828914642333984,-0.19161932170391083,-8.517133712768555,-1.3413623571395874,-3.2526206970214844,117.45383522727273,0.43441168833632143,salsa
242,MEQUIERESOLVIDAR-LUCHOVEGA_01m_00s__02m_00s.mp3,5,3319.854707529629,3157.3718708182782,6702.814349650689,0.3893813192844391,-178.81253051757812,132.7320556640625,-58.543312072753906,58.2706298828125,-25.46807289123535,25.114566802978516,-17.881973266601562,10.069648742675781,-9.430463790893555,3.264366626739502,-1.4953323602676392,0.5508189797401428,1.6883865594863892,-2.045522689819336,1.93561589717865,-2.185614824295044,0.1402239352464676,-6.496993541717529,1.3530337810516357,-8.554347038269043,117.45383522727273,0.42909846952329556,salsa
243,MENTIRASTUYAS-ORQUESTAPASIONJUVENIL_01m_00s__02m_00s.mp3,11,3440.3940382917745,3483.6822982026597,7270.440979122237,0.44009050726890564,-91.63893127441406,119.71228790283203,-40.40647506713867,62.85580062866211,-14.44218635559082,35.823036193847656,-15.770108222961426,10.788384437561035,-3.0789220333099365,10.107335090637207,-3.9381861686706543,3.096787452697754,4.336851596832275,-4.206417083740234,-1.4514895677566528,-2.13424015045166,-2.666989803314209,-4.984198570251465,3.690640687942505,-3.420473575592041,120.18531976744185,0.4802858682047088,salsa
244,MENTIRAS-LAOCTAVADIMENSION_01m_00s__02m_00s.mp3,14,2026.0690826228486,2515.0663678420083,3957.0614205317293,0.41820013523101807,-251.50363159179688,160.66827392578125,-36.781307220458984,31.82184600830078,-0.41537749767303467,12.436596870422363,-2.67673397064209,10.481599807739258,-3.065225124359131,-0.5573570132255554,-0.7373817563056946,3.3015127182006836,1.8041309118270874,5.179775238037109,3.9187028408050537,-3.044599771499634,2.645765781402588,0.20957517623901367,1.014236330986023,-1.4057661294937134,126.04801829268293,0.35813892743904896,salsa
245,MIABUELO-D.R.A_01m_00s__02m_00s.mp3,13,3017.4927463896856,2978.839697252899,6168.5711088352655,0.489949107170105,-209.5044708251953,128.16494750976562,-36.69626998901367,68.91161346435547,-2.7650840282440186,33.854068756103516,5.564568519592285,12.89063835144043,6.141099452972412,1.794890284538269,1.0741451978683472,4.774453163146973,5.196569442749023,0.28663548827171326,0.5497747659683228,-4.4474029541015625,-1.1160084009170532,-3.4728362560272217,1.9073429107666016,-6.106812953948975,92.28515625,0.42824523434893896,salsa
246,MIHIJOYYO-GRUPONICHE_01m_00s__02m_00s.mp3,10,2880.962050670868,3186.3383536395845,6197.07867951618,0.3699336051940918,-219.8685760498047,142.94847106933594,-39.40266418457031,49.95621109008789,-21.05849838256836,28.856510162353516,-19.77332878112793,10.480817794799805,-4.129092216491699,1.1430656909942627,-3.950451374053955,1.8375777006149292,0.04152630269527435,-3.9732353687286377,6.668557643890381,-6.412792205810547,4.365114212036133,-3.3611090183258057,2.977055311203003,-4.99647331237793,114.84375,0.5075596385951213,salsa
247,MUJERARAÑA-NELSONDIAZ_01m_00s__02m_00s.mp3,14,3626.7741880005988,3248.9794938303075,7212.21843490645,0.45763635635375977,-197.04742431640625,117.63511657714844,-62.03855895996094,68.29035186767578,-13.64197826385498,33.467342376708984,-20.02790069580078,14.819634437561035,-5.4889373779296875,-3.4256725311279297,-1.8302252292633057,6.967337131500244,-4.408154010772705,0.42698171734809875,3.2772274017333984,-7.663250923156738,2.175548791885376,-3.342874765396118,3.802640676498413,-8.397848129272461,101.33272058823529,0.5342197500307283,salsa
